user_name,youtube_total_comments,youtube_positive_count,youtube_positive_pct,youtube_negative_count,youtube_negative_pct,youtube_neutral_count,youtube_neutral_pct,youtube_sentiment_score,tiktok_total_comments,tiktok_positive_count,tiktok_positive_pct,tiktok_negative_count,tiktok_negative_pct,tiktok_neutral_count,tiktok_neutral_pct,tiktok_sentiment_score,global_score
amine.chermiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,156.0,62.4,22.0,8.8,72.0,28.8,53.6,53.6
aminematue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182.0,60.67,22.0,7.33,96.0,32.0,53.33,53.33
ammarjemalq55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,261.0,87.0,10.0,3.33,29.0,9.67,83.67,83.67
amriraoudhanutrition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,114.0,63.69,19.0,10.61,46.0,25.7,53.07,53.07
asmabenahmedofficiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,84.0,80.0,7.0,6.67,14.0,13.33,73.33,73.33
asmafehri_officiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,257.0,85.67,13.0,4.33,30.0,10.0,81.33,81.33
asmamek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,64.86,1.0,2.7,12.0,32.43,62.16,62.16
assiarabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,216.0,72.0,28.0,9.33,56.0,18.67,62.67,62.67
awesmessaoudi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,194.0,85.84,7.0,3.1,25.0,11.06,82.74,82.74
bayazardi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.27,0.0,0.0,8.0,72.73,27.27,27.27
beki_ksri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,202.0,67.33,26.0,8.67,72.0,24.0,58.67,58.67
bekisworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,75.0,2.0,3.33,13.0,21.67,71.67,71.67
belleetgourmande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
chaima_mahmoud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,60.0,0.0,0.0,4.0,40.0,60.0,60.0
chaymadimassi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,84.62,0.0,0.0,4.0,15.38,84.62,84.62
cheb_bachir1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,267.0,89.0,11.0,3.67,22.0,7.33,85.33,85.33
chekra_rammeh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,269.0,89.67,7.0,2.33,24.0,8.0,87.33,87.33
cherifouali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,159.0,82.38,7.0,3.63,27.0,13.99,78.76,78.76
chirinelajmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,247.0,82.33,20.0,6.67,33.0,11.0,75.67,75.67
cuisine soha المطبخ التونسي مع سهى,167.0,138.0,82.63,11.0,6.59,18.0,10.78,73.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7
cuisine tunisienne by khouloud,132.0,125.0,94.7,2.0,1.52,5.0,3.79,89.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.83
cuisineolfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,85.0,80.95,8.0,7.62,12.0,11.43,73.33,73.33
dali benjemaa,16.0,7.0,43.75,3.0,18.75,6.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
darinehadded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,257.0,85.67,11.0,3.67,32.0,10.67,82.0,82.0
dhaferyoussef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,126.0,87.5,4.0,2.78,14.0,9.72,84.72,84.72
djdanjertn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,81.82,0.0,0.0,4.0,18.18,81.82,81.82
djtorajp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,43.0,37.72,9.0,7.89,62.0,54.39,29.82,29.82
dorraofficial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,205.0,68.33,39.0,13.0,56.0,18.67,55.33,55.33
emnamarouani_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,214.0,79.55,16.0,5.95,39.0,14.5,73.61,73.61
eyadaghnoujofficial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,231.0,77.0,3.0,1.0,66.0,22.0,76.0,76.0
eyasghir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,232.0,77.33,19.0,6.33,49.0,16.33,71.0,71.0
fakherbeautycenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,54.55,2.0,9.09,8.0,36.36,45.45,45.45
fatmabouchiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,176.0,90.26,4.0,2.05,15.0,7.69,88.21,88.21
fatmabououn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,236.0,78.67,18.0,6.0,46.0,15.33,72.67,72.67
fatmanasserofficial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,162.0,92.05,0.0,0.0,14.0,7.95,92.05,92.05
faycellahdiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,124.0,88.57,3.0,2.14,13.0,9.29,86.43,86.43
feryel_selmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,87.0,72.5,15.0,12.5,18.0,15.0,60.0,60.0
ghadamaatouk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,92.0,90.2,4.0,3.92,6.0,5.88,86.27,86.27
gharbiikarim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,3.0,30.0,3.0,30.0,10.0,10.0
ghaylen_chaaleli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,66.67,0.0,0.0,4.0,33.33,66.67,66.67
gooba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,42.31,2.0,7.69,13.0,50.0,34.62,34.62
gooba_off,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,223.0,74.33,10.0,3.33,67.0,22.33,71.0,71.0
hajrimyriam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
hamza_belloumi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,89.0,43.84,75.0,36.95,39.0,19.21,6.9,6.9
haneneeleuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,202.0,89.38,10.0,4.42,14.0,6.19,84.96,84.96
hela_melki_official,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,254.0,84.67,9.0,3.0,37.0,12.33,81.67,81.67
hendjebali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,102.0,79.69,10.0,7.81,16.0,12.5,71.88,71.88
hitunis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,85.19,0.0,0.0,4.0,14.81,85.19,85.19
horcujet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,121.0,40.33,85.0,28.33,94.0,31.33,12.0,12.0
ichrak Qamar,93.0,65.0,69.89,12.0,12.9,16.0,17.2,56.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.99
idryss.kharroubi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,81.82,2.0,9.09,2.0,9.09,72.73,72.73
ihebmbarki24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,96.0,82.76,10.0,8.62,10.0,8.62,74.14,74.14
ilefbaatout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,172.0,57.33,38.0,12.67,90.0,30.0,44.67,44.67
inesosmani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,175.0,77.43,9.0,3.98,42.0,18.58,73.45,73.45
instaieb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,184.0,73.9,16.0,6.43,49.0,19.68,67.47,67.47
janetorjeman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,197.0,65.67,36.0,12.0,67.0,22.33,53.67,53.67
jelyfishtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,194.0,64.67,50.0,16.67,56.0,18.67,48.0,48.0
